,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,SMA_20,SMA_50,SMA_200,RSI,EMA_20,MACD,MACD_Signal,Volatility,BB_Middle,BB_Upper,BB_Lower,ATR,DayOfWeek,Month,Quarter,Target
2010-01-05,1118.0999755859375,1118.0999755859375,1126.5,1115.0,1118.0999755859375,53,,,,,,,1118.0999755859375,0.0,0.0,,,,,,1,1,1,1
2010-01-06,1135.9000244140625,1135.9000244140625,1139.199951171875,1120.699951171875,1135.9000244140625,363,0.015919908073333877,0.01579451541250982,,,,,1119.7952183314733,1.4199469150639743,0.28398938301279486,,,,,,2,1,1,0
2010-01-07,1133.0999755859375,1133.0999755859375,1133.0999755859375,1129.199951171875,1133.0999755859375,56,-0.0024650486556414553,-0.0024680918902550827,,,,,1121.0623380699938,2.2928934871290494,0.6857702038360458,,,,,,3,1,1,1
2010-01-08,1138.199951171875,1138.199951171875,1138.199951171875,1122.699951171875,1138.199951171875,54,0.004500905212093231,0.0044908064293332495,,,,,1122.6944916987443,3.357531805578219,1.2201225241844806,,,,,,4,1,1,1
2010-01-11,1150.699951171875,1150.699951171875,1161.199951171875,1143.0,1150.699951171875,177,0.010982253150801924,0.010922386126403755,,,,,1125.361678315233,5.150538672675793,2.0062057538827434,,,,,,0,1,1,0
2010-01-12,1128.9000244140625,1128.9000244140625,1157.199951171875,1127.199951171875,1128.9000244140625,51,-0.018944927159865954,-0.01912668150208354,,,,,1125.6986636579786,4.757595038893214,2.556483610884838,,,,,,1,1,1,1
2010-01-13,1136.4000244140625,1136.4000244140625,1136.4000244140625,1121.0,1136.4000244140625,58,0.006643635253611446,0.006621663569801901,,,,,1126.7178408728437,4.993806208563228,3.0439481304205165,,,,,,2,1,1,1
2010-01-14,1142.5999755859375,1142.5999755859375,1145.9000244140625,1132.800048828125,1137.0,81,0.005455782329001346,0.00544095345952943,,,,,1128.2304251312335,5.61654546678983,3.5584675976943796,,,,,,3,1,1,0
2010-01-15,1130.0999755859375,1130.0999755859375,1133.4000244140625,1127.199951171875,1132.800048828125,50,-0.01093996172509093,-0.011000243160598023,,,,,1128.4084775554911,5.043289381733302,3.8554319545021642,,,,,,4,1,1,1
2010-01-19,1139.699951171875,1139.699951171875,1139.699951171875,1130.5,1139.699951171875,22,0.008494802047013694,0.008458924256074033,,,,,1129.4838559951468,5.302493756345257,4.144844314870783,,,,,,1,1,1,0
2010-01-20,1112.300048828125,1112.300048828125,1133.0,1109.800048828125,1123.300048828125,28,-0.02404132975137585,-0.02433503952240169,,,,,1127.8473029316208,3.25939963203723,3.9677553783040724,,,,,,2,1,1,0
2010-01-21,1102.699951171875,1102.699951171875,1107.5,1090.199951171875,1102.699951171875,99,-0.008630852499165398,-0.008668314012208104,,,,,1125.4523170497403,0.8557209508753658,3.345348492818331,,,,,,3,1,1,0
2010-01-22,1089.199951171875,1089.199951171875,1095.4000244140625,1083.0,1089.199951171875,58,-0.012242677607497088,-0.012318236513859564,,,,,1121.9997107756578,-2.1141779697029506,2.253443200314075,,,,,,4,1,1,1
2010-01-25,1095.199951171875,1095.199951171875,1095.199951171875,1095.199951171875,1095.199951171875,8,0.005508630434241768,0.005493513420230047,,,,,1119.4473527181547,-3.938296178478595,1.015095324555541,,,,,17.071428571428573,0,1,1,1
2010-01-26,1097.9000244140625,1097.9000244140625,1097.9000244140625,1097.9000244140625,1097.9000244140625,4,0.0024653701265220374,0.0024623360872550208,,,,43.48388671874999,1117.395226213003,-5.107177295054498,-0.20935919936646674,,,,,16.442862374441965,1,1,1,0
2010-01-27,1084.4000244140625,1084.4000244140625,1084.4000244140625,1084.4000244140625,1084.4000244140625,206694,-0.012296201566444842,-0.012372425339340949,,,,32.91306679281412,1114.2528260416755,-7.041688969921097,-1.5758251534773928,,,,,15.900006975446429,2,1,1,0
2010-01-28,1083.5999755859375,1083.5999755859375,1095.699951171875,1073.199951171875,1087.800048828125,101168,-0.0007377801642500792,-0.0007380524579723018,,,,33.35574436645733,1111.333506950653,-8.540906411220703,-2.9688414050260548,,,,,17.028573172433035,3,1,1,0
2010-01-29,1083.0,1083.0,1090.800048828125,1074.5,1085.0,11456,-0.000553687337998543,-0.0005538406794374274,,,,30.859927231847323,1108.6350777172574,-9.666036004151465,-4.308280324851137,,,,,17.085719517299108,4,1,1,1
2010-02-01,1104.300048828125,1104.300048828125,1107.300048828125,1076.800048828125,1081.0,2452,0.019667635113688853,0.01947672626845235,,,,34.83663322099673,1108.2222178230543,-8.738244342760709,-5.194273128433052,,,,,17.621433803013392,0,2,1,1
2010-02-02,1117.4000244140625,1117.4000244140625,1118.5,1100.199951171875,1117.4000244140625,3326,0.011862695831480918,0.01179288560459625,1116.184991455078,,,46.015247363603606,1109.0962946412455,-6.866748614385415,-5.528768225623525,,1116.184991455078,1160.6347052828385,1071.7352776273176,16.785723005022323,1,2,1,0
2010-02-03,1111.4000244140625,1111.4000244140625,1124.9000244140625,1108.5999755859375,1115.800048828125,853,-0.005369607901294149,-0.005384076061273663,1115.8499938964844,,,41.24650159255542,1109.315697476752,-5.800855965494293,-5.583185773597679,0.011632836721851742,1115.8499938964844,1160.339910696358,1071.360077096611,16.850010463169642,2,2,1,0
2010-02-04,1062.4000244140625,1062.4000244140625,1110.699951171875,1059.0,1110.0,1426,-0.04408853601189466,-0.04508998111049233,1112.1749938964845,,,28.3944210739551,1104.847538137448,-8.808480175445766,-6.228244653967296,0.01460553797907394,1112.1749938964845,1161.5643350095104,1062.7856527834585,19.657156808035715,3,2,1,0
2010-02-05,1052.199951171875,1052.199951171875,1068.5,1045.199951171875,1052.199951171875,1956,-0.00960097233413848,-0.009647358811312443,1108.1299926757813,,,28.750695094216482,1099.833482235965,-11.878180425634127,-7.358231808300663,0.014672708533380962,1108.1299926757813,1163.2253521472026,1053.03463320436,20.221444266183035,4,2,1,1
2010-02-08,1065.699951171875,1065.699951171875,1073.4000244140625,1061.5999755859375,1065.699951171875,549,0.012830261002164667,0.012748650518059184,1104.5049926757813,,,30.235063356512754,1096.5826697536706,-13.070929277768755,-8.500771302194282,0.015028440492196957,1104.5049926757813,1160.7972975358327,1048.2126878157299,21.050022670200892,0,2,1,1
2010-02-09,1076.699951171875,1076.699951171875,1082.0,1063.0999755859375,1076.699951171875,387,0.010321854653276619,0.010268948062854865,1100.8049926757812,,,39.578443620479185,1094.6890775077854,-12.978969782686136,-9.396410998292653,0.01499638477314016,1100.8049926757812,1153.95276715659,1047.6572181949725,20.264317103794642,1,2,1,0
2010-02-10,1075.800048828125,1075.800048828125,1081.0999755859375,1063.300048828125,1075.800048828125,640,-0.0008357967721374093,-0.0008361462449986618,1098.1499938964844,,,41.70268780442254,1092.8901223954367,-12.830800339228972,-10.083288866479919,0.01453595173331139,1098.1499938964844,1150.6900923002884,1045.6098954926804,19.957162039620535,2,2,1,1
2010-02-11,1094.199951171875,1094.199951171875,1097.0999755859375,1075.5999755859375,1076.800048828125,1491,0.01710345929412549,0.016958841778351375,1096.039990234375,,,51.49700598802396,1093.0148679931929,-11.100694743979375,-10.28677004197981,0.01505378062918658,1096.039990234375,1145.4058422933906,1046.6741381753593,20.085736955915177,3,2,1,0
2010-02-12,1089.5,1089.5,1092.0,1079.800048828125,1089.5,197,-0.0042953311840686625,-0.004304582620552603,1093.384991455078,,,48.280038367071505,1092.6801186605078,-9.993620143246744,-10.228140062233198,0.014964694951261388,1093.384991455078,1137.6560436013415,1049.1139393088147,20.68572998046875,4,2,1,1
2010-02-16,1119.300048828125,1119.300048828125,1120.4000244140625,1092.4000244140625,1119.300048828125,928,0.027352041145594308,0.02698465813435139,1092.8449951171874,,,55.549800970864574,1095.2153501050427,-6.635154721702975,-9.509542994127154,0.016195839092560584,1092.8449951171874,1135.463046627815,1050.2269436065599,22.70001220703125,1,2,1,1
2010-02-17,1119.5,1119.5,1127.0,1108.5,1119.5,1083,0.00017863947391427715,0.0001786235197834537,1091.8349975585938,,,59.77715862282832,1097.5281739045624,-3.912313574626296,-8.390097110226982,0.016062899954880173,1091.8349975585938,1130.5569958520177,1053.11299926517,23.057155064174108,2,2,1,0
2010-02-18,1118.0,1118.0,1123.699951171875,1100.800048828125,1118.0,989,-0.0013398838767306742,-0.0013407823237650395,1092.1199951171875,,,59.54496588192497,1099.4778716279375,-1.8541068232173075,-7.082899052825048,0.015105463465958133,1092.1199951171875,1131.5535689193407,1052.6864213150343,23.085719517299108,3,2,1,1
